unique_number,id_no,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,criteria_txt,category,states_name_en,region_en,iso_code,udnp_code,transboundary
1098,942,The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,"<p>The small island of P&aacute;tmos in the Dodecanese is reputed to be where St John the Theologian wrote both his Gospel and the Apocalypse. A monastery dedicated to the &lsquo;beloved disciple&rsquo; was founded there in the late 10th century and it has been a place of pilgrimage and Greek Orthodox learning ever since. The fine monastic complex dominates the island. The old settlement of Chor&aacute;, associated with it, contains many religious and secular buildings.</p>","<p><em>Criterion (iii):</em> The town of Chor&aacute; on the island of P&aacute;tmos is one of the few settlements in Greece that have evolved uninterruptedly since the 12th century. There are few other places in the world where religious ceremonies that date back to the early Christian times are still being practised unchanged.</p>
<p><em> Criterion (iv):</em> The Monastery of Hagios Ioannis Theologos (Saint John the Theologian) and the Cave of the Apocalypse on the island of P&aacute;tmos, together with the associated medieval settlement of Chor&aacute;, constitute an exceptional example of a traditional Greek Orthodox pilgrimage centre of outstanding architectural interest.</p>
<p><em>Criterion (vi):</em> The Monastery of Hagios Ioannis Theologos and the Cave of the Apocalypse commemorate the site where St John the Theologian (Divine), the &ldquo;Beloved Disciple&rdquo;, composed two of the most sacred Christian works, his Gospel and the Apocalypse.</p>",1999,,,26.55,37.3,0,(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
1477,978,Old Town of Corfu,"<p>The Old Town of Corfu, on the Island of Corfu off the western coasts of Albania and Greece, is located in a strategic position at the entrance of the Adriatic Sea, and has its roots in the 8th century BC. The three forts of the town, designed by renowned Venetian engineers, were used for four centuries to defend the maritime trading interests of the Republic of Venice against the Ottoman Empire. In the course of time, the forts were repaired and partly rebuilt several times, more recently under British rule in the 19th century. The mainly neoclassical housing stock of the Old Town is partly from the Venetian period, partly of later construction, notably the 19th century. As a fortified Mediterranean port, Corfu&rsquo;s urban and port ensemble is notable for its high level of integrity and authenticity.</p>",,2007,,,19.9275,39.62394139,70,(iv),Cultural,Greece,Europe and North America,gr,grc,0
2109,1517,Archaeological Site of Philippi,"<p>The remains of this walled city lie at the foot of an acropolis in north-eastern Greece, on the ancient route linking Europe and Asia, the<span> </span><em>Via Egnatia</em>. Founded in 356 BC by the Macedonian King Philip II, the city developed as a “small Rome” with the establishment of the Roman Empire in the decades following the Battle of Philippi, in 42 BCE. The vibrant Hellenistic city of Philip II, of which the walls and their gates, the theatre and the funerary heroon (temple) are to be seen, was supplemented with Roman public buildings such as the Forum and a monumental terrace with temples to its north<span>. Later the city became a centre of the Christian faith following the visit of the Apostle Paul in 49-50 CE. The remains of its basilicas constitute an exceptional testimony to the early establishment of Christianity.  </span></p>",,2016,,,24.28527778,41.01472222,87.545,(iii)(iv),Cultural,Greece,Europe and North America,gr,grc,0
320,286,Vatican City,"<p>The Vatican City, one of the most sacred places in Christendom, attests to a great history and a formidable spiritual venture. A unique collection of artistic and architectural masterpieces lie within the boundaries of this small state. At its centre is St Peter's Basilica, with its double colonnade and a circular piazza in front and bordered by palaces and gardens. The basilica, erected over the tomb of St Peter the Apostle, is the largest religious building in the world, the fruit of the combined genius of Bramante, Raphael, Michelangelo, Bernini and Maderno.</p>",,1984,,,12.45736,41.90216,0,(i)(ii)(iv)(vi),Cultural,Holy See,Europe and North America,va,vat,0
2114,91,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura","<p>Founded, according to legend, by Romulus and Remus in 753 BC, Rome was first the centre of the Roman Republic, then of the Roman Empire, and it became the capital of the Christian world in the 4th century. The World Heritage site, extended in 1990 to the walls of Urban VIII, includes some of the major monuments of antiquity such as the Forums, the Mausoleum of Augustus, the Mausoleum of Hadrian, the Pantheon, Trajan’s Column and the Column of Marcus Aurelius, as well as the religious and public buildings of papal Rome.</p>",,1980,1990,,12.49230556,41.89022222,1430.8,(i)(ii)(iii)(iv)(vi),Cultural,"Holy See,Italy",Europe and North America,"va,it","vat,ita",1
462,400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue","<p>This site has the remains of monuments such as the Roman city of Aquincum and the Gothic castle of Buda, which have had a considerable influence on the architecture of various periods. It is one of the world's outstanding urban landscapes and illustrates the great periods in the history of the Hungarian capital.</p>",,1987,2002,,19.07067,47.48242,473.3,(ii)(iv),Cultural,Hungary,Europe and North America,hu,hun,0
1004,853,Early Christian Necropolis of Pécs (Sopianae),"<p>In the 4th century, a remarkable series of decorated tombs were constructed in the cemetery of the Roman provincial town of Sopianae (modern Pécs). These are important both structurally and architecturally, since they were built as underground burial chambers with memorial chapels above the ground. The tombs are important also in artistic terms, since they are richly decorated with murals of outstanding quality depicting Christian themes.</p>","<p><em>Criterion (iii):</em> The burial chambers and memorial chapels of the Sopianae cemetery bear outstanding testimony to the strength and faith of the Christian communities of Late Roman Europe.</p>
<p><em>Criterion (iv):</em> The unique Early Christian sepulchral art and architecture of the northern and western Roman provinces is exceptionally well and fully illustrated by the Sopianae cemetery at Pécs.</p>",2000,,,18.22778,46.07444,3.76,(iii)(iv),Cultural,Hungary,Europe and North America,hu,hun,0
123,114,Persepolis,"<p>Founded by Darius I in 518 B.C., Persepolis was the capital of the Achaemenid Empire. It was built on an immense half-artificial, half-natural terrace, where the king of kings created an impressive palace complex inspired by Mesopotamian models. The importance and quality of the monumental ruins make it a unique archaeological site.</p>",,1979,,,52.89028,29.93444,12.5,(i)(iii)(vi),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1284,1106,Pasargadae,"<p>Pasargadae was the first dynastic capital of the Achaemenid Empire, founded by Cyrus II the Great, in Pars, homeland of the Persians, in the 6th century BC. Its palaces, gardens and the mausoleum of Cyrus are outstanding examples of the first phase of royal Achaemenid art and architecture and exceptional testimonies of Persian civilization. Particularly noteworthy vestiges in the 160-ha site include: the Mausoleum of Cyrus II; Tall-e Takht, a fortified terrace; and a royal ensemble of gatehouse, audience hall, residential palace and gardens. Pasargadae was the capital of the first great multicultural empire in Western Asia. Spanning the Eastern Mediterranean and Egypt to the Hindus River, it is considered to be the first empire that respected the cultural diversity of its different peoples. This was reflected in Achaemenid architecture, a synthetic representation of different cultures.</p>","<p><em>Criterion (i):</em> Pasargadae is the first outstanding expression of the royal Achaemenid architecture.</p>
<p><em>Criterion (ii):</em> The dynastic capital of Pasargadae was built by Cyrus the Great with a contribution by different peoples of the empire created by him. It became a fundamental phase in the evolution of the classic Persian art and architecture.</p>
<p><em>Criterion (iii):</em> The archaeological site of Pasargadae with its palaces, gardens, and the tomb of the founder of the dynasty, Cyrus the Great, represents an exceptional testimony to the Achaemenid civilisation in Persia.</p>
<p><em>Criterion (iv):</em> The &lsquo;Four Gardens&rsquo; type of royal ensemble, which was created in Pasargadae became a prototype for Western Asian architecture and design.</p>",2004,,,53.16729,30.19383,159.65,(i)(ii)(iii)(iv),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1564,1208,Bam and its Cultural Landscape,"<p>Bam is situated in a desert environment on the southern edge of the Iranian high plateau. The origins of Bam can be traced back to the Achaemenid period (6th to 4th centuries BC). Its heyday was from the 7th to 11th centuries, being at the crossroads of important trade routes and known for the production of silk and cotton garments. The existence of life in the oasis was based on the underground irrigation canals, the qan?ts, of which Bam has preserved some of the earliest evidence in Iran. Arg-e Bam is the most representative example of a fortified medieval town built in vernacular technique using mud layers (<em>Chineh</em> ).</p>","<p><em>Criterion (ii):</em> Bam developed at the crossroads of important trade routes at the southern side of the Iranian high plateau, and it became an outstanding example of the interaction of the various influences.</p>
<p><em>Criterion (iii):</em> The Bam and its Cultural Landscape represents an exceptional testimony to the development of a trading settlement in the desert environment of the Central Asian region.</p>
<p><em>Criterion (iv):</em> The city of Bam represents an outstanding example of a fortified settlement and citadel in the Central Asian region, based on the use mud layer technique (Chineh) combined with mud bricks (Khesht).</p>
<p><em>Criterion (v):</em> The cultural landscape of Bam is an outstanding representation of the interaction of man and nature in a desert environment, using the qanats. The system is based on a strict social system with precise tasks and responsibilities, which have been maintained in use until the present, but has now become vulnerable to irreversible change.</p>",2004,,,58.36666667,29.11683,0,(ii)(iii)(iv)(v),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1399,1222,Bisotun,"<p>Bisotun is located along the ancient trade route linking the Iranian high plateau with Mesopotamia and features remains from the prehistoric times to the Median, Achaemenid, Sassanian, and Ilkhanid periods. The principal monument of this archaeological site is the bas-relief and cuneiform inscription ordered by Darius I, The Great, when he rose to the throne of the Persian Empire, 521 BC. The bas-relief portrays Darius holding a bow, as a sign of sovereignty, and treading on the chest of a figure who lies on his back before him. According to legend, the figure represents Gaumata, the Median Magus and pretender to the throne whose assassination led to Darius&rsquo;s rise to power. Below and around the bas-reliefs, there are ca. 1,200 lines of inscriptions telling the story of the battles Darius waged in 521-520 BC against the governors who attempted to take apart the Empire founded by Cyrus. The inscription is written in three languages. The oldest is an Elamite text referring to legends describing the king and the rebellions. This is followed by a Babylonian version of similar legends. The last phase of the inscription is particularly important, as it is here that Darius introduced for the first time the Old Persian version of his res gestae (things done). This is the only known monumental text of the Achaemenids to document the re-establishment of the Empire by Darius I. It also bears witness to the interchange of influences in the development of monumental art and writing in the region of the Persian Empire. There are also remains from the Median period (8th to 7th centuries B.C.) as well as from the Achaemenid (6th to 4th centuries B.C.) and post-Achaemenid periods.</p>",,2006,,0,47.43666667,34.38833333,187,(ii)(iii),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1599,1315,Shushtar Historical Hydraulic System,"<p>Shushtar, Historical Hydraulic System, inscribed as a masterpiece of creative genius, can be traced back to Darius the Great in the 5th century B.C. It involved the creation of two main diversion canals on the river K&acirc;run one of which, Gargar canal, is still in use providing water to the city of Shushtar via a series of tunnels that supply water to mills. It forms a spectacular cliff from which water cascades into a downstream basin. It then enters the plain situated south of the city where it has enabled the planting of orchards and farming over an area of 40,000 ha. known as Mian&acirc;b (Paradise). The property has an ensemble of remarkable sites including the Sal&acirc;sel Castel, the operation centre of the entire hydraulic system, the tower where the water level is measured, damns, bridges, basins and mills. It bears witness to the know-how of the Elamites and Mesopotamians as well as more recent Nabatean expertise and Roman building influence.</p>",,2009,,,48.83583333,32.01861111,240.4152,(i)(ii)(v),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1768,1372,The Persian Garden,"<p>The property includes nine gardens in as many provinces. They exemplify the diversity of Persian garden designs that evolved and adapted to different climate conditions while retaining principles that have their roots in the times of Cyrus the Great, 6th century BC. Always divided into four sectors, with water playing an important role for both irrigation and ornamentation, the Persian garden was conceived to symbolize Eden and the four Zoroastrian elements of sky, earth, water and plants. These gardens, dating back to different periods since the 6th century BC, also feature buildings, pavilions and walls, as well as sophisticated irrigation systems. They have influenced the art of garden design as far as India and Spain.</p>",,2011,,,53.16666667,30.16666667,716.35,(i)(ii)(iii)(iv)(vi),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1999,1455,Susa,"<p>Located in the south-west of Iran, in the lower Zagros Mountains, the property encompasses a group of archaeological mounds rising on the eastern side of the Shavur River, as well as Ardeshir’s palace, on the opposite bank of the river. The excavated architectural monuments include administrative, residential and palatial structures. Susa contains several layers of superimposed urban settlements in a continuous succession from the late 5<sup>th</sup> millennium BCE until the 13<sup>th</sup> century CE. The site bears exceptional testimony to the Elamite, Persian and Parthian cultural traditions, which have largely disappeared.</p>",,2015,,,48.25611111,32.18944444,350,(i)(ii)(iii)(iv),Cultural,Iran (Islamic Republic of),Asia and the Pacific,ir,irn,0
1456,276,Samarra Archaeological City,"<p>Samarra Archaeological City is the site of a powerful Islamic capital city that ruled over the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Located on both sides of the River Tigris 130 km north of Baghdad, the length of the site from north to south is 41.5 km; its width varying from 8 km to 4 km. It testifies to the architectural and artistic innovations that developed there and spread to the other regions of the Islamic world and beyond. The 9th-century Great Mosque and its spiral minaret are among the numerous remarkable architectural monuments of the site, 80% of which remain to be excavated.</p>",,2007,,Y 2007,43.82354306,34.34098944,15058,(ii)(iii)(iv),Cultural,Iraq,Arab States,iq,irq,0
309,277,Hatra,"<p>A large fortified city under the influence of the Parthian Empire and capital of the first Arab Kingdom, Hatra withstood invasions by the Romans in A.D. 116 and 198 thanks to its high, thick walls reinforced by towers. The remains of the city, especially the temples where Hellenistic and Roman architecture blend with Eastern decorative features, attest to the greatness of its civilization.</p>",,1985,,,42.71833,35.58806,323.75,(ii)(iii)(iv)(vi),Cultural,Iraq,Arab States,iq,irq,0
1310,1130,Ashur (Qal'at Sherqat),"<p>The ancient city of Ashur is located on the Tigris River in northern Mesopotamia in a specific geo-ecological zone, at the borderline between rain-fed and irrigation agriculture. The city dates back to the 3rd millennium BC. From the 14th to the 9th centuries BC it was the first capital of the Assyrian Empire, a city-state and trading platform of international importance. It also served as the religious capital of the Assyrians, associated with the god Ashur. The city was destroyed by the Babylonians, but revived during the Parthian period in the 1st and 2nd centuries AD.</p>","<p>Criterion iii: Founded in the 3rd millennium BCE, the most important role of Ashur was from the 14th to 9th century BCE when it was the first capital of the Assyrian empire. Ashur was also the religious capital of Assyrians, and the place for crowning and burial of its kings. Criterion iv: The excavated remains of the public and residential buildings of Ashur provide an outstanding record of the evolution of building practice from the Sumerian and Akkadian period through the Assyrian empire, as well as including the short revival during the Parthian period.</p>",2003,,Y 2003,43.25972,35.45889,70,(iii)(iv),Cultural,Iraq,Arab States,iq,irq,0
1980,1437,Erbil Citadel,"<p>Erbil Citadel is a fortified settlement on top of an imposing ovoid-shaped tell (a hill created by many generations of people living and rebuilding on the same spot) in the Kurdistan region, Erbil Governorate. A continuous wall of tall 19th-century façades still conveys the visual impression of an impregnable fortress, dominating the city of Erbil. The citadel features a peculiar fan-like pattern dating back to Erbil’s late Ottoman phase. Written and iconographic historical records document the antiquity of settlement on the site – Erbil corresponds to ancient Arbela, an important Assyrian political and religious centre – while archaeological finds and investigations suggest that the mound conceals the levels and remains of previous settlements.</p>",,2014,,,44.00916667,36.19111111,15.6,(iv),Cultural,Iraq,Arab States,iq,irq,0
1214,1040,Masada,"<p>Masada is a rugged natural fortress, of majestic beauty, in the Judaean Desert overlooking the Dead Sea. It is a symbol of the ancient kingdom of Israel, its violent destruction and the last stand of Jewish patriots in the face of the Roman army, in 73 A.D. It was built as a palace complex, in the classic style of the early Roman Empire, by Herod the Great, King of Judaea, (reigned 37 &ndash; 4 B.C.). The camps, fortifications and attack ramp that encircle the monument constitute the most complete Roman siege works surviving to the present day.</p>","<p><em>Criterion (iii):</em> Masada is a symbol of the ancient Jewish kingdom of Israel, of its violent destruction in the later 1st century CE, and of the subsequent Diaspora.</p>
<p><em>Criterion (iv):</em> The palace of Herod the Great at Masada is an outstanding example of a luxurious villa of the Early Roman Empire, whilst the camps and other fortifications that encircle the monument constitute the finest and most complete Roman siege works to have survived to the present day.</p>
<p><em>Criterion (vi):</em> The tragic events during the last days of the Jewish refugees who occupied the fortress and palace of Masada make it a symbol both of Jewish cultural identity and, more universally, of the continuing human struggle between oppression and liberty.</p>",2001,,,35.35275,31.3135,276,(iii)(iv)(vi),Cultural,Israel,Europe and North America,il,isr,0
1217,1042,Old City of Acre,"<p>Acre is a historic walled port-city with continuous settlement from the Phoenician period. The present city is characteristic of a fortified town dating from the Ottoman 18th and 19th centuries, with typical urban components such as the citadel, mosques, khans and baths. The remains of the Crusader town, dating from 1104 to 1291, lie almost intact, both above and below today's street level, providing an exceptional picture of the layout and structures of the capital of the medieval Crusader kingdom of Jerusalem.</p>","<p><em>Criterion (ii):</em> Acre is an exceptional historic town in that preserves the substantial remains of the its medieval Crusader buildings beneath the existing Moslem fortified town dating from the 18th and 19th centuries.</p>
<p><em>Criterion (iii):</em> The remains of the Crusader town of Acre, both above and below the present-day street level, provide an exceptional picture of the layout and structures of the capital of the medieval Crusader Kingdom of Jerusalem.</p>
<p><em>Criterion (v):</em> Present-day Acre is an important example of an Ottoman walled town, with typical urban components such as the citadel, mosques, khans, and baths well preserved, partly built on top of the underlying Crusader structures.</p>",2001,,,35.08388889,32.92833333,63.3,(ii)(iii)(v),Cultural,Israel,Europe and North America,il,isr,0
1286,1107,Incense Route - Desert Cities in the Negev,"<p>The four Nabatean towns of Haluza, Mamshit, Avdat and Shivta, along with associated fortresses and agricultural landscapes in the Negev Desert, are spread along routes linking them to the Mediterranean end of the incense and spice route. Together they reflect the hugely profitable trade in frankincense and myrrh from south Arabia to the Mediterranean, which flourished from the 3rd century BC until the 2nd century AD. With the vestiges of their sophisticated irrigation systems, urban constructions, forts and caravanserai, they bear witness to the way in which the harsh desert was settled for trade and agriculture.</p>","<p><em>Criterion (iii): </em> The Nabatean towns and their trade routes bear eloquent testimony to the economic, social and cultural importance of frankincense to the Hellenistic-Roman world. The routes also provided a means of passage not only for frankincense and other trade goods but also for people and ideas.</p>
<p><em>Criterion (v): </em> The almost fossilised remains of towns, forts, caravanserai and sophisticated agricultural systems strung out along the Incense route in the Negev desert, display an outstanding response to a hostile desert environment and one that flourished for five centuries.</p>",2005,,,35.16083,30.54111,6655,(iii)(v),Cultural,Israel,Europe and North America,il,isr,0
1287,1108,"Biblical Tels - Megiddo, Hazor, Beer Sheba","<p>Tels (prehistoric settlement mounds), are characteristic of the flatter lands of the eastern Mediterranean, particularly Lebanon, Syria, Israel and eastern Turkey. Of more than 200 tels in Israel, Megiddo, Hazor and Beer Sheba are representative of those that contain substantial remains of cities with biblical connections. The three tels also present some of the best examples in the Levant of elaborate Iron Age, underground water-collecting systems, created to serve dense urban communities. Their traces of construction over the millennia reflect the existence of centralized authority, prosperous agricultural activity and the control of important trade routes.</p>","<p><em>Criterion (ii): </em> The three tels represent an interchange of human values throughout the ancient near-east, forged through extensive trade routes and alliances with other states and manifest in building styles which merged Egyptian, Syrian and Aegean influences to create a distinctive local style.</p>
<p><em>Criterion (iii): </em> The three tels are a testimony to a civilisation that has disappeared &ndash;that of the Cananean cities of the Bronze Age and the biblical cities of the Iron Age-, manifest in their expressions of creativity: town planning, fortifications, palaces, and water collection technologies.</p>
<p><em>Criterion (iv): </em> The biblical cities exerted a powerful influence on later history through the biblical narrative.</p>
<p><em>Criterion (vi): </em> The three tels, through their mentions in the Bible, constitute a religious and spiritual testimony of outstanding universal value.</p>",2005,,,35.18222,32.59722,96.04,(ii)(iii)(iv)(vi),Cultural,Israel,Europe and North America,il,isr,0
1969,1370,Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,"<p>The archaeological site contains some 3,500 underground chambers distributed among distinct complexes carved in the thick and homogenous soft chalk of Lower Judea under the former towns of Maresha and Bet Guvrin. Situated on the crossroads of trade routes to Mesopotamia and Egypt, the site bears witness to the region&rsquo;s tapestry of cultures and their evolution over more than 2,000 years from the 8<sup>th</sup> century BCE&mdash;when Maresha, the older of the two towns was built&mdash;to the time of the Crusaders. These quarried caves served as cisterns, oil presses, baths, columbaria (dovecotes), stables, places of religious worship, hideaways and, on the outskirts of the towns, burial areas. Some of the larger chambers feature vaulted arches and supporting pillars.</p>",,2014,,,34.89555556,31.6,259,(v),Cultural,Israel,Europe and North America,il,isr,0
2032,1471,Necropolis of Bet She’arim: A Landmark of Jewish Renewal,"<p><span>Consisting of a series of catacombs, the necropolis developed from the 2</span><sup>nd</sup><span> century AD as the primary Jewish burial place outside Jerusalem following the failure of the second Jewish revolt against Roman rule. Located southeast of the city of Haifa, these catacombs are a treasury of artworks and inscriptions in Greek, Aramaic, Hebrew and Palmyrene. Bet She’arim bears unique testimony to ancient Judaism under the leadership of Rabbi Judah the Patriarch, who is credited with Jewish renewal after 135 AD.</span></p>",,2015,,,35.12694444,32.70222222,12.2,(ii)(iii),Cultural,Israel,Europe and North America,il,isr,0
2127,174,Historic Centre of Florence,"<p>Built on the site of an Etruscan settlement, Florence, the symbol of the Renaissance, rose to economic and cultural pre-eminence under the Medici in the 15th and 16th centuries. Its 600 years of extraordinary artistic activity can be seen above all in the 13th-century cathedral (Santa Maria del Fiore), the Church of Santa Croce, the Uffizi and the Pitti Palace, the work of great masters such as Giotto, Brunelleschi, Botticelli and Michelangelo.</p>",,1982,,,11.25611,43.77306,505,(i)(ii)(iii)(iv)(vi),Cultural,Italy,Europe and North America,it,ita,0
1867,726,Historic Centre of Naples,"<p>From the Neapolis founded by Greek settlers in 470 B.C. to the city of today, Naples has retained the imprint of the successive cultures that emerged in Europe and the Mediterranean basin. This makes it a unique site, with a wealth of outstanding monuments such as the Church of Santa Chiara and the Castel Nuovo.</p>",,1995,,,14.26277778,40.85138889,1021,(ii)(iv),Cultural,Italy,Europe and North America,it,ita,0
931,788,Early Christian Monuments of Ravenna,"<p>Ravenna was the seat of the Roman Empire in the 5th century and then of Byzantine Italy until the 8th century. It has a unique collection of early Christian mosaics and monuments. All eight buildings – the Mausoleum of Galla Placidia, the Neonian Baptistery, the Basilica of Sant'Apollinare Nuovo, the Arian Baptistery, the Archiepiscopal Chapel, the Mausoleum of Theodoric, the Church of San Vitale and the Basilica of Sant'Apollinare in Classe – were constructed in the 5th and 6th centuries. They show great artistic skill, including a wonderful blend of Graeco-Roman tradition, Christian iconography and oriental and Western styles.</p>","<p>The Committee decided to inscribe the nominated property on the basis of cultural criteria (i), (ii), (iii) and (iv) considering that the site is of outstanding universal value being of remarkable significance by virtue of the supreme artistry of the mosaic art that the monuments contain, and also because of the crucial evidence that they provide of artistic and religious relationships and contacts at an important period of European cultural history.</p>",1996,,,12.19625,44.42041667,1.32,(i)(ii)(iii)(iv),Cultural,Italy,Europe and North America,it,ita,0
942,797,City of Verona,"<p>The historic city of Verona was founded in the 1st century B.C. It particularly flourished under the rule of the Scaliger family in the 13th and 14th centuries and as part of the Republic of Venice from the 15th to 18th centuries. Verona has preserved a remarkable number of monuments from antiquity, the medieval and Renaissance periods, and represents an outstanding example of a military stronghold.</p>","<p><em>Criterion (ii):</em> In its urban structure and its architecture, Verona is an outstanding example of a town that has developed progressively and uninterruptedly over two thousand years, incorporating artistic elements of the highest quality from each succeeding period.</p>
<p><em>Criterion (iv):</em> Verona represents in an exceptional way the concept of the fortified town at several seminal stages of European history.</p>",2000,,,10.99388889,45.43861111,452.9,(ii)(iv),Cultural,Italy,Europe and North America,it,ita,0
2252,825,Archaeological Area and the Patriarchal Basilica of Aquileia,"<p>Aquileia (in Friuli-Venezia Giulia), one of the largest and wealthiest cities of the Early Roman Empire, was destroyed by Attila in the mid-5th century. Most of it still lies unexcavated beneath the fields, and as such it constitutes the greatest archaeological reserve of its kind. The patriarchal basilica, an outstanding building with an exceptional mosaic pavement, played a key role in the evangelization of a large region of central Europe.</p>","<p>Criterion iii: Aquileia was one of the largest and most wealthy cities of the Early Roman Empire. Criterion iv: By virtue of the fact that most of ancient Aquileia survives intact and unexcavated, it is the most complete example of an Early Roman city in the Mediterranean world. Criterion vi: The Patriarchal Basilican Complex in Aquileia played a decisive role in the spread of Christianity into central Europe in the early Middle Ages.</p>",1998,,,13.3675,45.76833333,155.41,(iii)(iv)(vi),Cultural,Italy,Europe and North America,it,ita,0
978,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","<p>When Vesuvius erupted on 24 August AD 79, it engulfed the two flourishing Roman towns of Pompei and Herculaneum, as well as the many wealthy villas in the area. These have been progressively excavated and made accessible to the public since the mid-18th century. The vast expanse of the commercial town of Pompei contrasts with the smaller but better-preserved remains of the holiday resort of Herculaneum, while the superb wall paintings of the Villa Oplontis at Torre Annunziata give a vivid impression of the opulent lifestyle enjoyed by the wealthier citizens of the Early Roman Empire.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (iii), (iv) and (v), considering that the impressive remains of the towns of Pompei and Herculaneum and their associated villas, buried by the eruption of Vesuvius in AD 79, provide a complete and vivid picture of society and daily life at a specific moment in the past that is without parallel anywhere in the world.</p>",1997,,,14.48333333,40.75,98.05,(iii)(iv)(v),Cultural,Italy,Europe and North America,it,ita,0
980,831,Archaeological Area of Agrigento,"<p>Founded as a Greek colony in the 6th century B.C., Agrigento became one of the leading cities in the Mediterranean world. Its supremacy and pride are demonstrated by the remains of the magnificent Doric temples that dominate the ancient town, much of which still lies intact under today's fields and orchards. Selected excavated areas throw light on the later Hellenistic and Roman town and the burial practices of its early Christian inhabitants.</p>","<p>The Committee decided to inscribe this site on the basis of criteria (i), (ii), (iii) and (iv), considering that Agrigento was one of the greatest cities of the ancient Mediterranean world, and it has been preserved in an exceptionally intact condition. Its great row of Doric temples is one of the most outstanding monuments of Greek art and culture.</p>",1997,,,13.59333333,37.28972222,934,(i)(ii)(iii)(iv),Cultural,Italy,Europe and North America,it,ita,0
981,832,Villa Romana del Casale,"<p>Roman exploitation of the countryside is symbolized by the Villa Romana del Casale (in Sicily), the centre of the large estate upon which the rural economy of the Western Empire was based. The villa is one of the most luxurious of its kind. It is especially noteworthy for the richness and quality of the mosaics which decorate almost every room; they are the finest mosaics <em>in situ</em> anywhere in the Roman world.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (i), (ii) and (iii), considering that the Villa del Casale at Piazza Armerina is the supreme example of a luxury Roman villa, which graphically illustrates the predominant social and economic structure of its age. The mosaics that decorate it are exceptional for their artistic quality and invention as well as their extent.</p>",1997,,,14.33417,37.36611,8.92,(i)(ii)(iii),Cultural,Italy,Europe and North America,it,ita,0
993,842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula","<p>The Cilento is an outstanding cultural landscape. The dramatic groups of sanctuaries and settlements along its three east–west mountain ridges vividly portray the area's historical evolution: it was a major route not only for trade, but also for cultural and political interaction during the prehistoric and medieval periods. The Cilento was also the boundary between the Greek colonies of Magna Graecia and the indigenous Etruscan and Lucanian peoples. The remains of two major cities from classical times, Paestum and Velia, are found there.</p>","<p><em>Criterion (iii):</em> During the prehistoric period, and again in the Middle Ages, the Cilento region served as a key route for cultural, political, and commercial communications in an exceptional manner, utilizing the crests of the mountain chains running east-west and thereby creating a cultural landscape of outstanding significance and quality.</p>
<p><em>Criterion (iv):</em> In two key episodes in the development of human societies in the Mediterranean region, the Cilento area provided the only viable means of communication between the Adriatic and the Tyrrhenian seas, in the central Mediterranean region, and this is vividly illustrated by the relict cultural landscape of today.</p>",1998,,,15.26666667,40.28333333,159109.73,(iii)(iv),Cultural,Italy,Europe and North America,it,ita,0
1060,907,Villa Adriana (Tivoli),"<p>The Villa Adriana (at Tivoli, near Rome) is an exceptional complex of classical buildings created in the 2nd century A.D. by the Roman emperor Hadrian. It combines the best elements of the architectural heritage of Egypt, Greece and Rome in the form of an 'ideal city'.</p>","<p><em>Criteria (i) and (iii):</em> The Villa Adriana is a masterpiece that uniquely brings together the highest expressions of the material cultures of the ancient Mediterranean world.</p>
<p><em>Criterion (ii):</em> Study of the monuments that make up the Villa Adriana played a crucial role in the rediscovery of the elements of classical architecture by the architects of the Renaissance and the Baroque period. It also profoundly influenced many 19th and 20th century architects and designers.</p>",1999,,,12.77197222,41.94416667,80,(i)(ii)(iii),Cultural,Italy,Europe and North America,it,ita,0
